name,price,weight,brand,link
"Яичная лапша Самокат, Бешбармачная, халяль",72 ₽,250 г,,https://samokat.ru/product/63792a71-0008-11f0-a5c9-7cc255b74513
"Яичная лапша Самокат, Лагманная, халяль",72 ₽,250 г,,https://samokat.ru/product/76406147-0008-11f0-a5c9-7cc255b74513
"Паста птитим Самокат, жемчужная",165 ₽,300 г,,https://samokat.ru/product/ec2f95d1-96c9-11eb-85a9-1c34dae33151
Спагетти Самокат,69 ₽,400 г,,https://samokat.ru/product/036ad69e-17a3-11eb-8599-1c34dae33151
Вермишель Самокат на перепелиных яйцах,179 ₽,300 г,,https://samokat.ru/product/18378c46-0afa-11ec-a0ee-ec0d9a21b021
"Лапша Самокат домашняя, на перепелиных яйцах",149 ₽,250 г,,https://samokat.ru/product/1a1b5d7b-d718-11ea-8598-1c34dae33151
"Макароны Самокат Fusilli цельнозерновые, спирали",79 ₽,400 г,,https://samokat.ru/product/222a25ba-17a3-11eb-8599-1c34dae33151
"Макароны Самокат, тальятелле, гнёзда",109 ₽,250 г,,https://samokat.ru/product/499241d9-34b8-11eb-859a-1c34dae33151
"Яичные макароны Самокат, ракушки",132 ₽,400 г,,https://samokat.ru/product/94b73f75-66a0-11ee-b10a-08c0eb31fffb
"Ассорти макарон Самокат, детские",122 ₽,250 г,,https://samokat.ru/product/e3b14ece-7fc4-11ef-b973-08c0eb32008b
"Лапша Самокат, лингуине, цельнозерновая",69 ₽,400 г,,https://samokat.ru/product/eac0268e-17a2-11eb-8599-1c34dae33151
Паста Самокат орзо,105 ₽,300 г,,https://samokat.ru/product/ec2f95cf-96c9-11eb-85a9-1c34dae33151
Макароны Самокат Penne rigate перья,69 ₽,400 г,,https://samokat.ru/product/f6c5a324-17a2-11eb-8599-1c34dae33151
Макароны Barilla Lasagne,529,500 г,,https://samokat.ru/product/1609a1a6-fa98-11e8-80c5-0cc47a817925
"Макароны Barilla, спагетти №5",135,450 г,,https://samokat.ru/product/250f25c6-5a43-11ea-a7b3-0050560306e1
"Макароны Barilla, пенне ригате",135,450 г,,https://samokat.ru/product/28250c4d-6853-11ea-9044-0050560306e1
"Макароны Barilla Fusillii, спирали, №98",135,450 г,,https://samokat.ru/product/94687c4b-63f9-11ed-b96e-08c0eb32008b
"Макароны Barilla, пипе ригате",135,450 г,,https://samokat.ru/product/f0a6d99d-6852-11ea-9044-0050560306e1
"Макароны Barilla, джирандоле, №34",135,450 г,,https://samokat.ru/product/3bbc74b3-1ddf-11eb-8599-1c34dae33151
"Макароны Dalla Costa, Love Pasta, с томатами и шпинатом",289,250 г,,https://samokat.ru/product/84ad1cc8-1427-11ee-ae78-08c0eb320147
"Макароны Foody Mac & Cheese, карбонара с беконом, с сырным соусом",105 ₽,143 г,,https://samokat.ru/product/74c9a5c1-c962-11ed-885d-08c0eb32014b
"Макароны Grand di Pasta, спирали",115 ₽,450 г,,https://samokat.ru/product/6c70d4ee-5ad4-11ed-ae75-08c0eb320147
"Спагетти Grand di Pasta, Spaghetti",115 ₽,450 г,,https://samokat.ru/product/5274f804-0a86-11e9-80c5-0cc47a817925
"Макароны Grand di Pasta, фарфалле",115 ₽,400 г,,https://samokat.ru/product/6cf6518b-9e90-11ea-bc7d-0050560306e1
"Макароны Makfa, Спагетти",84 ₽,450 г,,https://samokat.ru/product/abc1e0d5-dd00-11ec-8859-08c0eb32014b
"Макароны Makfa, спираль",84 ₽,450 г,,https://samokat.ru/product/baa1bf9a-e676-11e8-80c5-0cc47a817925
"Макароны Makfa, Fusilli, без глютена, рис и кукуруза",249 ₽,300 г,,https://samokat.ru/product/5d6a01d3-00bd-11eb-8599-1c34dae33151
"Макароны Makfa, перья любительские",84 ₽,450 г,,https://samokat.ru/product/5274f7fd-0a86-11e9-80c5-0cc47a817925
"Вермишель Makfa, паутинка",84 ₽,450 г,,https://samokat.ru/product/baa1bf99-e676-11e8-80c5-0cc47a817925
"Спагетти Makfa, без глютена, рис и кукуруза",249 ₽,300 г,,https://samokat.ru/product/9e1a45a9-00bd-11eb-8599-1c34dae33151
Из Италии: Паста Romeo Rossi Farfalle фарфалле,231 ₽,500 г,,https://samokat.ru/product/7af6e4b4-feae-11ea-8599-1c34dae33151
Из Италии: Паста Romeo Rossi Penne Rigate пенне ригате,235 ₽,500 г,,https://samokat.ru/product/5622f683-feae-11ea-8599-1c34dae33151
Из Италии: Спагетти Romeo Rossi,231 ₽,500 г,,https://samokat.ru/product/324954e0-feae-11ea-8599-1c34dae33151
