name,price,weight,brand,link
Макароны Barilla Lasagne,529,500 г,Barilla,https://samokat.ru/product/1609a1a6-fa98-11e8-80c5-0cc47a817925
"Макароны Barilla, спагетти №5",135,450 г,Barilla,https://samokat.ru/product/250f25c6-5a43-11ea-a7b3-0050560306e1
"Макароны Barilla, пенне ригате",135,450 г,Barilla,https://samokat.ru/product/28250c4d-6853-11ea-9044-0050560306e1
"Макароны Barilla Fusillii, спирали, №98",135,450 г,Barilla,https://samokat.ru/product/94687c4b-63f9-11ed-b96e-08c0eb32008b
"Макароны Barilla, пипе ригате",135,450 г,Barilla,https://samokat.ru/product/f0a6d99d-6852-11ea-9044-0050560306e1
"Макароны Barilla, джирандоле, №34",135,450 г,Barilla,https://samokat.ru/product/3bbc74b3-1ddf-11eb-8599-1c34dae33151
"Макароны Foody Mac & Cheese, карбонара с беконом, с сырным соусом",105,143 г,Foody,https://samokat.ru/product/74c9a5c1-c962-11ed-885d-08c0eb32014b
"Макароны Grand di Pasta, спирали",115,450 г,Grand di pasta,https://samokat.ru/product/6c70d4ee-5ad4-11ed-ae75-08c0eb320147
"Спагетти Grand di Pasta, Spaghetti",115,450 г,Grand di pasta,https://samokat.ru/product/5274f804-0a86-11e9-80c5-0cc47a817925
"Макароны Grand di Pasta, фарфалле",115,400 г,Grand di pasta,https://samokat.ru/product/6cf6518b-9e90-11ea-bc7d-0050560306e1
