name,price,weight,brand,link
"Свинина Черкизово Премиум, в маринаде по-дижонски, охлаждённая",439 ₽,700 г,,https://samokat.ru/product/77eee813-45b5-11ee-b971-08c0eb32008b
"Медальоны Самокат, из индейки, охлаждённые",419 ₽,500 г,,https://samokat.ru/product/0e68ca6b-d53d-11ed-b109-08c0eb31fffb
"Говяжий стейк Мачете Самокат, охлаждённый",514 ₽,200 г,,https://samokat.ru/product/173b94f7-66a1-11ee-b972-08c0eb32008b
"Говяжий гуляш Самокат, охлаждённый",429,350 г,,https://samokat.ru/product/18dee8c6-8fa0-11ef-b10b-08c0eb31fffb
"Котлеты Самокат, Нежные, из индейки, рубленые, охлаждённые",279 ₽,450 г,,https://samokat.ru/product/19c1d044-b355-4544-94d0-a95867f52e24
"Антрекот Самокат, из говядины, без кости, охлаждённый",499 ₽,350 г,,https://samokat.ru/product/36015488-ad81-11ef-b10b-08c0eb31fffb
"Говяжий фарш Самокат, охлаждённый",349 ₽,450 г,,https://samokat.ru/product/36d66c26-aeb3-11ed-b970-08c0eb32008b
"Мякоть говяжьей лопатки Самокат, охлаждённая",539 ₽,400 г,,https://samokat.ru/product/41b21a2c-f31a-11ee-b973-08c0eb32008b
"Куриное филе бедра Самокат, с овощами, охлаждённое",509 ₽,900 г,,https://samokat.ru/product/521bbf8d-d7d0-11ed-885d-08c0eb32014b
"Голубцы Самокат, охлаждённые",239 ₽,400 г,,https://samokat.ru/product/5543342d-0c4e-11ee-b10a-08c0eb31fffb
"Стрипсы Самокат, из индейки, в панировке, охлаждённые",275 ₽,300 г,,https://samokat.ru/product/55d7145e-3b3f-4505-9d66-ab2e4be90970
"Свиной шницель Самокат, По-венски, в панировке, охлаждённый",189 ₽,250 г,,https://samokat.ru/product/6a6e0e59-35dd-11ee-b10a-08c0eb31fffb
"Свиное рагу Самокат, с овощами, охлаждённое",399 ₽,700 г,,https://samokat.ru/product/7a80144c-8631-11ef-8861-08c0eb32014b
"Куриный шашлык Самокат, в сливочном маринаде, охлаждённый",589 ₽,1 кг,,https://samokat.ru/product/7d857b07-9ff2-4c14-9d83-1eea58fb2df7
"Цыплёнок Самокат, в маринаде, охлаждённый",449 ₽,800 г,,https://samokat.ru/product/a5e3f174-d559-4f49-bee4-9f0c9e084bdf
"Котлеты Самокат, из мяса цыплёнка-бройлера, со сливочным маслом, охлаждённые",299 ₽,400 г,,https://samokat.ru/product/d33b468a-4ffc-40d1-a26d-2aee2236537a
"Колбаски Самокат, с сыром, в беконе, для жарки",469 ₽,350 г,,https://samokat.ru/product/eca0c464-b72f-4fb6-82dd-01ec503712b9
"Свиные рёбрышки Самокат, в маринаде, охлаждённые",459 ₽,700 г,,https://samokat.ru/product/fc5e570d-61bf-4022-b357-1e494306d3a7
