name,price,weight,brand,link
"Колбаски Ближние горки, Австрийские, из свинины, охлаждённые",249,400 г,Ближние горки,https://samokat.ru/product/0f6ea386-7692-11ef-b10b-08c0eb31fffb
"Чевапчичи Мираторг Black Angus, из мраморной говядины, охлаждённые",325,300 г,Мираторг,https://samokat.ru/product/3fde2587-fa98-11e8-80c5-0cc47a817925
"Стейк Паризьен Мираторг Black Angus, из мраморной говядины, охлаждённый",679,290 г,Мираторг,https://samokat.ru/product/286a0c9d-164e-11ec-a0ee-ec0d9a21b021
"Говяжья мякоть бедра Мираторг, охлаждённая",1029,600 г,Мираторг,https://samokat.ru/product/18a49931-9e30-11e9-bb93-ac1f6b6e023e
"Стейк По-мексикански Индилайт, из индейки, охлаждённый",509,600 г,Индилайт,https://samokat.ru/product/29933162-9006-11ec-b967-08c0eb32008b
"Стейк Индилайт, из грудки индейки",399,525 г,Индилайт,https://samokat.ru/product/6305be46-612a-11e9-80c5-0cc47a817925
"Стейк Паризьен Мираторг Black Angus, из мраморной говядины, охлаждённый",679,290 г,Мираторг,https://samokat.ru/product/286a0c9d-164e-11ec-a0ee-ec0d9a21b021
"Печень цыплёнка-бройлера Наша птичка, охлаждённая",166,490 г,Наша птичка,https://samokat.ru/product/3aac2b0a-9f9a-11ec-b967-08c0eb32008b
"Голень цыплёнка-бройлера Наша птичка, охлаждённая",325,900 г,Наша птичка,https://samokat.ru/product/f9c1aa9f-5f6d-11ed-b107-08c0eb31fffb
"Бёдрышки цыплёнка табака Рококо, охлаждённые",369,900 г,Рококо,https://samokat.ru/product/352f8b2f-5b66-11ed-885b-08c0eb32014b
"Филе цыплёнка-бройлера Троекурово, охлаждённое",459,900 г,Троекурово,https://samokat.ru/product/5cc1190f-6f6e-11ea-9786-0050560307be
"Куриный шницель Троекурово, из рубленного филе, охлаждённый",189,350 г,Троекурово,https://samokat.ru/product/db5a5d3f-6f70-11ea-9786-0050560307be
"Куриные фрикадельки Троекурово, охлаждённые",199,300 г,Троекурово,https://samokat.ru/product/c9995fef-0d5f-11eb-8599-1c34dae33151
"Филе бедра цыплёнка-бройлера Троекурово, охлаждённое",405,750 г,Троекурово,https://samokat.ru/product/463b8b1c-6f6e-11ea-9786-0050560307be
Голень цыплёнка-бройлера Троекурово,339,900 г,Троекурово,https://samokat.ru/product/8f5b8279-6f6d-11ea-9786-0050560307be
Бедро цыплёнка-бройлера Троекурово,289,900 г,Троекурово,https://samokat.ru/product/7386f8c7-6f6d-11ea-9786-0050560307be
"Стейк По-мексикански Индилайт, из индейки, охлаждённый",509,600 г,Индилайт,https://samokat.ru/product/29933162-9006-11ec-b967-08c0eb32008b
"Стейк Индилайт, из грудки индейки",399,525 г,Индилайт,https://samokat.ru/product/6305be46-612a-11e9-80c5-0cc47a817925
"Индейка Индилайт, Духовая, охлаждённая",285,400 г,Индилайт,https://samokat.ru/product/0b296d6f-1e14-11ed-885a-08c0eb32014b
"Колбаски Барбекю Индилайт, из индейки, охлаждённые",289,350 г,Индилайт,https://samokat.ru/product/8a697b58-05a1-11f0-aa23-be3af2b6059f
"Фарш Индилайт, из индейки, охлаждённый",259,450 г,Индилайт,https://samokat.ru/product/1737841a-54fd-11eb-85a3-1c34dae33151
"Тефтели Индилайт, из индейки, охлаждённые",219,330 г,Индилайт,https://samokat.ru/product/66c96405-eb64-11ea-8599-1c34dae33151
"Филе грудки индейки Индилайт, слайсы, охлаждённые",269,300 г,Индилайт,https://samokat.ru/product/7dae5e1d-cae1-49db-a9d6-8010321bf8aa
"Фарш Индилайт, из индейки, охлаждённый",259,450 г,Индилайт,https://samokat.ru/product/1737841a-54fd-11eb-85a3-1c34dae33151
"Свино-говяжий фарш Мираторг, Домашний, охлаждённый",281,400 г,Мираторг,https://samokat.ru/product/24411c40-f6b7-11e8-80c5-0cc47a817925
"Стейк По-мексикански Индилайт, из индейки, охлаждённый",509,600 г,Индилайт,https://samokat.ru/product/29933162-9006-11ec-b967-08c0eb32008b
"Колбаски Ближние горки, Австрийские, из свинины, охлаждённые",249,400 г,Ближние горки,https://samokat.ru/product/0f6ea386-7692-11ef-b10b-08c0eb31fffb
"Колбаски Барбекю Индилайт, из индейки, охлаждённые",289,350 г,Индилайт,https://samokat.ru/product/8a697b58-05a1-11f0-aa23-be3af2b6059f
"Тефтели Индилайт, из индейки, охлаждённые",219,330 г,Индилайт,https://samokat.ru/product/66c96405-eb64-11ea-8599-1c34dae33151
"Чевапчичи Мираторг Black Angus, из мраморной говядины, охлаждённые",325,300 г,Мираторг,https://samokat.ru/product/3fde2587-fa98-11e8-80c5-0cc47a817925
"Куриный шницель Троекурово, из рубленного филе, охлаждённый",189,350 г,Троекурово,https://samokat.ru/product/db5a5d3f-6f70-11ea-9786-0050560307be
"Куриные фрикадельки Троекурово, охлаждённые",199,300 г,Троекурово,https://samokat.ru/product/c9995fef-0d5f-11eb-8599-1c34dae33151
