name,price,weight,brand,link
"Маасдам Viola, полутвёрдый, 45%, нарезка",229 ₽,120 г,,https://samokat.ru/product/b2140f2e-6100-11ed-ae75-08c0eb320147
"Сыр Laplandia, Лёгкий, полутвёрдый, нарезка, 17%",275 ₽,120 г,,https://samokat.ru/product/4091f76c-5776-11ec-a0ee-ec0d9a21b021
"Голландский сыр Самокат, полутвёрдый, нарезка, 45%",189 ₽,150 г,,https://samokat.ru/product/00754eac-e6b7-11ee-b973-08c0eb32008b
"Сыр сулугуни Самокат, 45%",329 ₽,280 г,,https://samokat.ru/product/0525a386-037a-11ed-885a-08c0eb32014b
"Гауда Самокат, 45%",215 ₽,200 г,,https://samokat.ru/product/07b5d442-4907-11ec-85ad-1c34dae33151
"Маасдам Самокат, 45%, полутвёрдый, нарезка",229 ₽,150 г,,https://samokat.ru/product/0ba526f9-0c14-11ec-a0ee-ec0d9a21b021
"Маасдам Самокат, полутвёрдый, 45%",269 ₽,200 г,,https://samokat.ru/product/0ba526fb-0c14-11ec-a0ee-ec0d9a21b021
"Тильзитер Самокат, 45%",239 ₽,200 г,,https://samokat.ru/product/1176cd5d-83c4-11ea-82f9-0050560306e1
"Голландский сыр Самокат, 45%",249 ₽,200 г,,https://samokat.ru/product/2325fe0a-a4bd-11ea-9ad3-0050560306e1
"Рикотта Самокат, мягкая, 45%",145 ₽,250 г,,https://samokat.ru/product/2a84c004-e03d-11ed-ae78-08c0eb320147
"Российский сыр Самокат, 45%",239 ₽,200 г,,https://samokat.ru/product/32d1932e-6757-11ea-9735-0050560306e1
"Сыр Самокат, пряди, 45%",179 ₽,100 г,,https://samokat.ru/product/38a79870-dc84-11ef-aa23-be3af2b6059f
"Маасдам Самокат, полутвёрдый, 45%",239 ₽,200 г,,https://samokat.ru/product/584cdb47-d7b3-11ee-b10b-08c0eb31fffb
"Пармезан Самокат, твёрдый, хлопья, 32%",215 ₽,100 г,,https://samokat.ru/product/6405342d-6a35-11ed-b96e-08c0eb32008b
"Сыр блю чиз Самокат, мягкий, с голубой плесенью, 50%",375 ₽,150 г,,https://samokat.ru/product/74eb2974-e1d5-11ee-ae7a-08c0eb320147
"Сыр Самокат, Грано Кози, полутвёрдый, из козьего молока, 50%",405 ₽,150 г,,https://samokat.ru/product/7e5fee21-c9b6-11eb-85ac-1c34dae33151
"Адыгейский сыр Самокат, мягкий, из козьего молока, 45%",235 ₽,150 г,,https://samokat.ru/product/7e5fee27-c9b6-11eb-85ac-1c34dae33151
"Буррата Самокат, мягкая",279 ₽,150 г,,https://samokat.ru/product/843802d9-a47e-11e9-bb93-ac1f6b6e023e
"Камамбер Самокат, мягкий",269 ₽,125 г,,https://samokat.ru/product/843802da-a47e-11e9-bb93-ac1f6b6e023e
"Мини-моцарелла Самокат, мягкая, 45%",149 ₽,120 г,,https://samokat.ru/product/843802db-a47e-11e9-bb93-ac1f6b6e023e
"Моцарелла Самокат, мягкая, 45%",149 ₽,130 г,,https://samokat.ru/product/843802dc-a47e-11e9-bb93-ac1f6b6e023e
"Творожный сыр Самокат, с авокадо, базиликом, тимьяном и кинзой",162 ₽,130 г,,https://samokat.ru/product/84b3d0d9-e01f-11ed-885e-08c0eb32014b
"Плавленый сыр Самокат, чеддер, для пасты и пиццы, тёртый, 45%",149 ₽,150 г,,https://samokat.ru/product/873c8f3b-32cd-11ee-b971-08c0eb32008b
"Сыр палермо Самокат, твёрдый, тёртый, 40%",339 ₽,120 г,,https://samokat.ru/product/98afd619-f7c1-11ec-8859-08c0eb32014b
"Сыр Самокат, для пиццы, с твёрдым сыром Palermo, 36%",329 ₽,200 г,,https://samokat.ru/product/a4ee21ac-ce78-11ef-9bb0-be3af2b6059f
"Сыр качотта Самокат, полутвёрдый, с чёрным трюфелем, 45%",249 ₽,140 г,,https://samokat.ru/product/a694c201-c1df-11ef-aa3a-be3af2b6059f
"Халуми Самокат, мягкий, 55%",175 ₽,100 г,,https://samokat.ru/product/b9f114d8-dd25-11ed-b971-08c0eb32008b
"Сыр палермо Самокат, твёрдый, 40%",329 ₽,180 г,,https://samokat.ru/product/cbc91fda-202b-11eb-8599-1c34dae33151
"Камамбер Самокат, мягкий, с белой плесенью, без лактозы, 50%",249 ₽,125 г,,https://samokat.ru/product/d3664f63-ce84-11ef-aa23-be3af2b6059f
"Фета Самокат, 40%",209 ₽,250 г,,https://samokat.ru/product/dbb129f0-7e2e-11ee-b10b-08c0eb31fffb
"Сыр Франциск Самокат, твёрдый, 45%",269 ₽,180 г,,https://samokat.ru/product/f0226213-b6ce-11ee-8861-08c0eb32014b
"Творожный сыр Самокат, 60%, сливочный",162 ₽,130 г,,https://samokat.ru/product/f992a024-35ac-11ed-ae72-08c0eb320147
"Голландский сыр Самокат, полутвёрдый, нарезка, 45%",189 ₽,150 г,,https://samokat.ru/product/00754eac-e6b7-11ee-b973-08c0eb32008b
"Маасдам Самокат, 45%, полутвёрдый, нарезка",229 ₽,150 г,,https://samokat.ru/product/0ba526f9-0c14-11ec-a0ee-ec0d9a21b021
"Тильзитер Ламбер, 50%, нарезка",315 ₽,150 г,,https://samokat.ru/product/f005d2a1-e323-11eb-a0ee-ec0d9a21b021
"Сыр Радость вкуса, Лёгкий, нарезка, 35%",199 ₽,125 г,,https://samokat.ru/product/f29d3582-ad98-11eb-85ab-1c34dae33151
"Сыр Laplandia, Лёгкий, полутвёрдый, нарезка, 17%",275 ₽,120 г,,https://samokat.ru/product/4091f76c-5776-11ec-a0ee-ec0d9a21b021
"Сыр Laplandia, полутвёрдый, сливочный, нарезка, 45%",279,130 г,,https://samokat.ru/product/3359ca4d-a09a-11ed-885d-08c0eb32014b
"Сыр Natura, полутвёрдый, сливочный, нарезка, 45%",280,150 г,,https://samokat.ru/product/55d7b338-c17a-11ed-b970-08c0eb32008b
"Маасдам Viola, полутвёрдый, 45%, нарезка",229 ₽,120 г,,https://samokat.ru/product/b2140f2e-6100-11ed-ae75-08c0eb320147
"Голландский сыр Самокат, полутвёрдый, нарезка, 45%",189 ₽,150 г,,https://samokat.ru/product/00754eac-e6b7-11ee-b973-08c0eb32008b
"Гауда Самокат, 45%",215 ₽,200 г,,https://samokat.ru/product/07b5d442-4907-11ec-85ad-1c34dae33151
"Маасдам Самокат, 45%, полутвёрдый, нарезка",229 ₽,150 г,,https://samokat.ru/product/0ba526f9-0c14-11ec-a0ee-ec0d9a21b021
"Маасдам Самокат, полутвёрдый, 45%",269 ₽,200 г,,https://samokat.ru/product/0ba526fb-0c14-11ec-a0ee-ec0d9a21b021
"Тильзитер Самокат, 45%",239 ₽,200 г,,https://samokat.ru/product/1176cd5d-83c4-11ea-82f9-0050560306e1
"Голландский сыр Самокат, 45%",249 ₽,200 г,,https://samokat.ru/product/2325fe0a-a4bd-11ea-9ad3-0050560306e1
"Российский сыр Самокат, 45%",239 ₽,200 г,,https://samokat.ru/product/32d1932e-6757-11ea-9735-0050560306e1
"Маасдам Самокат, полутвёрдый, 45%",239 ₽,200 г,,https://samokat.ru/product/584cdb47-d7b3-11ee-b10b-08c0eb31fffb
"Пармезан Самокат, твёрдый, хлопья, 32%",215 ₽,100 г,,https://samokat.ru/product/6405342d-6a35-11ed-b96e-08c0eb32008b
"Сыр Самокат, Грано Кози, полутвёрдый, из козьего молока, 50%",405 ₽,150 г,,https://samokat.ru/product/7e5fee21-c9b6-11eb-85ac-1c34dae33151
"Сыр Самокат, Эмандхоф Хард Экстра, твёрдый, 40%",349 ₽,150 г,,https://samokat.ru/product/85e89af4-5573-11ef-b10b-08c0eb31fffb
"Сыр палермо Самокат, твёрдый, тёртый, 40%",339 ₽,120 г,,https://samokat.ru/product/98afd619-f7c1-11ec-8859-08c0eb32014b
"Сыр качотта Самокат, полутвёрдый, с чёрным трюфелем, 45%",249 ₽,140 г,,https://samokat.ru/product/a694c201-c1df-11ef-aa3a-be3af2b6059f
"Сыр палермо Самокат, твёрдый, 40%",329 ₽,180 г,,https://samokat.ru/product/cbc91fda-202b-11eb-8599-1c34dae33151
"Сыр Франциск Самокат, твёрдый, 45%",269 ₽,180 г,,https://samokat.ru/product/f0226213-b6ce-11ee-8861-08c0eb32014b
"Сыр Ламбер, Гурмэ, полутвёрдый, 55%",369 ₽,230 г,,https://samokat.ru/product/22e8a185-cf28-11ef-aa3a-be3af2b6059f
"Тильзитер Ламбер, 50%, нарезка",315 ₽,150 г,,https://samokat.ru/product/f005d2a1-e323-11eb-a0ee-ec0d9a21b021
"Сыр Ламбер, полутвёрдый, 50%",315 ₽,230 г,,https://samokat.ru/product/b1464c0f-ef08-11e8-80c5-0cc47a817925
"Пармезан Natura Selection, Classical, твёрдый, 45%",399,150 г,,https://samokat.ru/product/e7448db1-0595-11f0-a5c9-7cc255b74513
"Тильзитер Natura, полутвёрдый, 45%",249 ₽,180 г,,https://samokat.ru/product/ea80e731-ff4e-11ef-a5c9-7cc255b74513
"Чеддер Palermo, твёрдый, 40%",377 ₽,230 г,,https://samokat.ru/product/8f09c762-e521-11ef-a97a-be3af2b6059f
"Сыр Ламбер, полутвёрдый, халяль, 50%",749 ₽,575-600 г,,https://samokat.ru/product/0bc58111-f48e-11ed-ae78-08c0eb320147
"Пармезан Dolce Granto, твёрдый, 40%",525,200 г,,https://samokat.ru/product/f0481f69-37a0-11ea-b723-0050560306e1
"Сыр Истринский Истринская сыроварня Олега Сироты, твёрдый, 50%",309,150 г,,https://samokat.ru/product/6817347c-0d8a-453d-aa7b-86ef94392a3b
"Сыр Губернаторский Истринская сыроварня Олега Сироты, полутвёрдый, 50%",279,150 г,,https://samokat.ru/product/5182a584-4d0c-45f2-b7cc-68988d73df20
"Пошехонский сыр Истринская сыроварня Олега Сироты, полутвёрдый, 50%",250,150 г,,https://samokat.ru/product/6e18965f-76c9-4d5b-ae10-fcc461b28275
"Сыр Красногорский Истринская сыроварня Олега Сироты, полутвёрдый, 50%",279,150 г,,https://samokat.ru/product/e04880c6-c152-478d-941f-4c253eb51fac
"Сыр Радость вкуса, Лёгкий, твёрдый, 35%",249,180 г,,https://samokat.ru/product/4ebbf00f-394a-11ef-ae7a-08c0eb320147
"Сыр Радость вкуса, Лёгкий, нарезка, 35%",199 ₽,125 г,,https://samokat.ru/product/f29d3582-ad98-11eb-85ab-1c34dae33151
"Сыр Радость вкуса, Топлёночка, полутвёрдый, 45%",269,180 г,,https://samokat.ru/product/d1f2ca81-b08c-11ee-b10b-08c0eb31fffb
"Российский сыр Радость вкуса, твёрдый, 45%",269,180 г,,https://samokat.ru/product/32583628-3943-11ef-ae7a-08c0eb320147
"Сыр Село Зелёное, сливочный, 50%",269 ₽,200 г,,https://samokat.ru/product/9367aa54-494f-11ec-a0ee-ec0d9a21b021
"Сыр Село Зелёное, тильзитэр, 50%",269 ₽,200 г,,https://samokat.ru/product/9367aa57-494f-11ec-a0ee-ec0d9a21b021
"Российский сыр Село Зелёное, полутвёрдый, 50%",269,200 г,,https://samokat.ru/product/9ab4d987-674e-11ed-b96e-08c0eb32008b
"Сыр Эконива, Колыбельский, полутвёрдый, 45%",225,200 г,,https://samokat.ru/product/96e91c09-d633-11ee-8861-08c0eb32014b
