name,price,weight,brand,link
"Маасдам Viola, полутвёрдый, 45%, нарезка",229,120 г,Viola,https://samokat.ru/product/b2140f2e-6100-11ed-ae75-08c0eb320147
"Сыр Laplandia, Лёгкий, полутвёрдый, нарезка, 17%",275,120 г,Laplandia,https://samokat.ru/product/4091f76c-5776-11ec-a0ee-ec0d9a21b021
"Тильзитер Ламбер, 50%, нарезка",315,150 г,Ламбер,https://samokat.ru/product/f005d2a1-e323-11eb-a0ee-ec0d9a21b021
"Сыр Laplandia, Лёгкий, полутвёрдый, нарезка, 17%",275,120 г,Laplandia,https://samokat.ru/product/4091f76c-5776-11ec-a0ee-ec0d9a21b021
"Сыр Laplandia, полутвёрдый, сливочный, нарезка, 45%",279,130 г,Laplandia,https://samokat.ru/product/3359ca4d-a09a-11ed-885d-08c0eb32014b
"Сыр Natura, полутвёрдый, сливочный, нарезка, 45%",280,150 г,Natura,https://samokat.ru/product/55d7b338-c17a-11ed-b970-08c0eb32008b
"Маасдам Viola, полутвёрдый, 45%, нарезка",229,120 г,Viola,https://samokat.ru/product/b2140f2e-6100-11ed-ae75-08c0eb320147
"Сыр Ламбер, Гурмэ, полутвёрдый, 55%",369,230 г,Ламбер,https://samokat.ru/product/22e8a185-cf28-11ef-aa3a-be3af2b6059f
"Тильзитер Ламбер, 50%, нарезка",315,150 г,Ламбер,https://samokat.ru/product/f005d2a1-e323-11eb-a0ee-ec0d9a21b021
"Сыр Ламбер, полутвёрдый, 50%",315,230 г,Ламбер,https://samokat.ru/product/b1464c0f-ef08-11e8-80c5-0cc47a817925
"Пармезан Natura Selection, Classical, твёрдый, 45%",399,150 г,Natura,https://samokat.ru/product/e7448db1-0595-11f0-a5c9-7cc255b74513
"Тильзитер Natura, полутвёрдый, 45%",249,180 г,Natura,https://samokat.ru/product/ea80e731-ff4e-11ef-a5c9-7cc255b74513
"Сыр Ламбер, полутвёрдый, халяль, 50%",749,575-600 г,Ламбер,https://samokat.ru/product/0bc58111-f48e-11ed-ae78-08c0eb320147
"Пармезан Dolce Granto, твёрдый, 40%",525,200 г,Dolce Granto,https://samokat.ru/product/f0481f69-37a0-11ea-b723-0050560306e1
"Сыр грюнландер Hochland, полутвёрдый, 50%",632,400 г,Hochland,https://samokat.ru/product/c8cc2361-f081-11eb-a0ee-ec0d9a21b021
"Сыр Laplandia, Лёгкий, полутвёрдый, нарезка, 17%",275,120 г,Laplandia,https://samokat.ru/product/4091f76c-5776-11ec-a0ee-ec0d9a21b021
"Сыр Laplandia, полутвёрдый, сливочный, нарезка, 45%",279,130 г,Laplandia,https://samokat.ru/product/3359ca4d-a09a-11ed-885d-08c0eb32014b
