name,price,weight,brand,link
Макаронные изделия Barilla №98 Фузилли спирали 450 г,129руб/шт,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-98-fuzilli-spirali-450-g-40598.html
Макаронные изделия Barilla №1 Капеллини 450 г,117руб/шт,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-1-kapellini-450-g-35198.html
Макаронные изделия Barilla №73 Пенне Ригате перья 450 г,129руб/шт,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-73-penne-rigate-perya-450-g-35200.html
Макаронные изделия Barilla №30 Филини вермишель 450 г,117руб/шт,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-30-filini-vermishel-450-g-35201.html
Макаронные изделия Barilla №13 Баветте 450 г,117руб/шт,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-13-bavette-450-g-35199.html
Макаронные изделия Barilla Лазанья 500 г,320руб/шт,500 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-lazanya-500-g-40601.html
Макаронные изделия Макфа Улитки 400 г,115руб/шт,400 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-ulitki-400-g-32902.html
Паста Мистраль Птитим 450 г,210руб/шт,450 г,Мистраль,https://vkusvill.ru//goods/pasta-mistral-ptitim-450-g-32703.html
Макаронные изделия Barilla №5 Спагетти 450 г,117руб/шт,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-5-spagetti-450-g-35197.html
Макаронные изделия Federici Спиральки 400 г,75руб/шт,400 г,Federici,https://vkusvill.ru//goods/makaronnye-izdeliya-federici-spiralki-400-g-62998.html
Макаронные изделия Макфа Витки 450 г,79руб/шт,450 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-vitki-450-g-108939.html
Макаронные изделия Макфа Ракушки 400 г,75руб/шт,400 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-rakushki-400-g-32903.html
Макаронные изделия Barilla №34 Джирандоле спирали 450 г,129руб/шт,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-34-dzhirandole-spirali-450-g-53664.html
Макаронные изделия Макфа Спагетти 400 г,75руб/шт,400 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-spagetti-400-g-32897.html
Макаронные изделия Barilla Фузилли спирали без глютена 400 г,370руб/шт,400 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-fuzilli-spirali-bez-glyutena-400-g-53650.html
Макаронные изделия Barilla №91 Пипе Ригате улитки рифленые 450 г,129руб/шт,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-91-pipe-rigate-ulitki-riflenye-450-g-60538.html
Макаронные изделия Barilla Фетучини гнезда 500 г,350руб/шт,500 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-fetuchini-gnezda-500-g-53648.html
Макаронные изделия Federici №66 Farfalle бантики 400 г,115руб/шт,400 г,Federici,https://vkusvill.ru//goods/makaronnye-izdeliya-federici-66-farfalle-bantiki-400-g-41269.html
Макаронные изделия Federici Вермишель 400 г,75руб/шт,400 г,Federici,https://vkusvill.ru//goods/makaronnye-izdeliya-federici-vermishel-400-g-62994.html
Макаронные изделия Barilla №5 Спагетти без глютена 400 г,370руб/шт,400 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-5-spagetti-bez-glyutena-400-g-53690.html
Макаронные изделия Макфа Рожки 400 г,115руб/шт,400 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-rozhki-400-g-32898.html
Макаронные изделия Макфа Макфики Подводный мир 250 г,69руб/шт,250 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-makfiki-podvodnyy-mir-250-g-108929.html
Макаронные изделия 3 Glocken Die Mag Ich Sternchen звездочки мелкие 250 г,178руб/шт,250 г,3 Glocken,https://vkusvill.ru//goods/makaronnye-izdeliya-3-glocken-die-mag-ich-sternchen-zvezdochki-melkie-250-g-48126.html
Макаронные изделия La Molisana №15 Спагетти с чернилами каракатицы 500 г,390руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-15-spagetti-s-chernilami-karakatitsy-500-g-44915.html
Макаронные изделия Макфа Макфики Веселый алфавит 300 г,69руб/шт,300 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-makfiki-veselyy-alfavit-300-g-108938.html
Макаронные изделия La Molisana №15 Спагетти 500 г,290руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-15-spagetti-500-g-44903.html
Макаронные изделия Макфа Полубублики 450 г,79руб/шт,450 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-polububliki-450-g-108931.html
Макаронные изделия La Molisana №108 Пружинки 500 г,290руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-108-pruzhinki-500-g-44854.html
Макаронные изделия La Molisana №66 Бантики 500 г,290руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-66-bantiki-500-g-44880.html
Макаронные изделия Federici №3 Spaghetti безглютеновые 400 г,150руб/шт,400 г,Federici,https://vkusvill.ru//goods/makaronnye-izdeliya-federici-3-spaghetti-bezglyutenovye-400-g-55927.html
Макаронные изделия Federici Перья рифленые 400 г,75руб/шт,400 г,Federici,https://vkusvill.ru//goods/makaronnye-izdeliya-federici-perya-riflenye-400-g-62997.html
Макаронные изделия La Molisana №204 Лапша яичная в гнездах 250 г,310руб/шт,250 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-204-lapsha-yaichnaya-v-gnezdakh-250-g-44859.html
Макаронные изделия La Molisana Spaghetto Quadrato спагетти квадратные 500 г,290руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-spaghetto-quadrato-spagetti-kvadratnye-500-g-45547.html
Макаронные изделия 3 Glocken Genuss Pur Schnittnudeln лапша мелкая 500 г,325руб/шт,500 г,3 Glocken,https://vkusvill.ru//goods/makaronnye-izdeliya-3-glocken-genuss-pur-schnittnudeln-lapsha-melkaya-500-g-48132.html
Макаронные изделия Макфа Перья любительские 400 г,89руб/шт,400 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-perya-lyubitelskie-400-g-32899.html
Макаронные изделия La Molisana №309 Спиральки с добавлением томатов и шпината 500 г,310руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-309-spiralki-s-dobavleniem-tomatov-i-shpinata-500-g-44856.html
Макаронные изделия Barilla Festivi 400 г,129руб/шт,400 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-festivi-400-g-104316.html
Макаронные изделия Макфа Вермишель томатная длинная 500 г,69руб/шт,500 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-vermishel-tomatnaya-dlinnaya-500-g-56240.html
Макаронные изделия Federici Спагетти 400 г,115руб/шт,400 г,Federici,https://vkusvill.ru//goods/makaronnye-izdeliya-federici-spagetti-400-g-62996.html
Вермишель Чим-Чим Фунчоза бататная 200 г,205руб/шт,200 г,Чим-Чим,https://vkusvill.ru//goods/vermishel-chim-chim-funchoza-batatnaya-200-g-48374.html
Макаронные изделия Foody Mac&Cheese с вложением соуса Сырный Четыре сыра 143 г,124руб/шт,143 г,Foody,https://vkusvill.ru//goods/makaronnye-izdeliya-foody-mac-cheese-s-vlozheniem-sousa-syrnyy-chetyre-syra-143-g-56915.html
Макаронные изделия Aida Spaghetti Спагетти 500 г,101руб/шт,500 г,AIDA,https://vkusvill.ru//goods/makaronnye-izdeliya-aida-spaghetti-spagetti-500-g-84775.html
Макаронные изделия La Molisana Перья рифленые с добавлением люпина 400 г,550руб/шт,400 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-perya-riflenye-s-dobavleniem-lyupina-400-g-100226.html
Макаронные изделия Felicia Tagliatelle Лазанья без глютена из кукурузно-рисовой муки BIO 250 г,550руб/шт,250 г,FELICIA,https://vkusvill.ru//goods/makaronnye-izdeliya-felicia-tagliatelle-lazanya-bez-glyutena-iz-kukuruzno-risovoy-muki-bio-250-g-100223.html
Макаронные изделия La Molisana №103 Лапша в гнёздах 500 г,699руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-103-lapsha-v-gnyezdakh-500-g-44865.html
Макаронные изделия Felicia Tagliatelle Лапша в гнездах без глютена из бурого риса BIO 250 г,550руб/шт,250 г,FELICIA,https://vkusvill.ru//goods/makaronnye-izdeliya-felicia-tagliatelle-lapsha-v-gnezdakh-bez-glyutena-iz-burogo-risa-bio-250-g-100225.html
Макаронные изделия La Molisana №220 Лазанья яичная 500 г,769руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-220-lazanya-yaichnaya-500-g-44890.html
Макаронные изделия Federici Fusilli Спиральки без глютена из красной чечевицы 250 г,350руб/шт,250 г,Federici,https://vkusvill.ru//goods/makaronnye-izdeliya-federici-fusilli-spiralki-bez-glyutena-iz-krasnoy-chechevitsy-250-g-108725.html
Макаронные изделия La Molisana №313 Ракушки рифленые гигант 500 г,769руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-313-rakushki-riflenye-gigant-500-g-44869.html
Макаронные изделия Federici №204 Fettuccine Лапша яичная в гнездах 200 г,349руб/шт,200 г,Federici,https://vkusvill.ru//goods/makaronnye-izdeliya-federici-204-fettuccine-lapsha-yaichnaya-v-gnezdakh-200-g-55936.html
Макаронные изделия Felicia Tagliatelle Ризони без глютена из красной чечевицы BIO 250 г,399руб/шт,250 г,FELICIA,https://vkusvill.ru//goods/makaronnye-izdeliya-felicia-tagliatelle-rizoni-bez-glyutena-iz-krasnoy-chechevitsy-bio-250-g-100221.html
Макаронные изделия La Molisana №20B Перья рифленные 500 г,399руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-20b-perya-riflennye-500-g-44898.html
Макаронные изделия La Molisana №28C Спиральки 500 г,399руб/шт,500 г,La Molisana,https://vkusvill.ru//goods/makaronnye-izdeliya-la-molisana-28c-spiralki-500-g-44908.html
Макаронные изделия Aida Tagliatelle Гнезда 250 г,110руб/шт,250 г,AIDA,https://vkusvill.ru//goods/makaronnye-izdeliya-aida-tagliatelle-gnezda-250-g-108677.html
Макаронные изделия Aida Bucatini 400 г,101руб/шт,400 г,AIDA,https://vkusvill.ru//goods/makaronnye-izdeliya-aida-bucatini-400-g-108678.html
Макаронные изделия 3 Glocken Gold-Ei Fadennestchen гнезда 500 г,439руб/шт,500 г,3 Glocken,https://vkusvill.ru//goods/makaronnye-izdeliya-3-glocken-gold-ei-fadennestchen-gnezda-500-g-48216.html
Макаронные изделия Pasteroni №122 Грандине Птитим 400 г,125руб/шт,400 г,PASTERONI,https://vkusvill.ru//goods/makaronnye-izdeliya-pasteroni-122-grandine-ptitim-400-g-83068.html
Макаронные изделия Мальтальяти №004 Спагетти 450 г,120руб/шт,450 г,Мальтальяти,https://vkusvill.ru//goods/makaronnye-izdeliya-maltalyati-004-spagetti-450-g-61618.html
Макаронные изделия Шебекинские №366 Спирали 450 г,105руб/шт,450 г,Шебекинские,https://vkusvill.ru//goods/makaronnye-izdeliya-shebekinskie-366-spirali-450-g-40634.html
Макаронные изделия Шебекинские №111 Вермишелька 450 г,105руб/шт,450 г,Шебекинские,https://vkusvill.ru//goods/makaronnye-izdeliya-shebekinskie-111-vermishelka-450-g-40629.html
Макаронные изделия Шебекинские №202 Рожок полубублик 450 г,105руб/шт,450 г,Шебекинские,https://vkusvill.ru//goods/makaronnye-izdeliya-shebekinskie-202-rozhok-polubublik-450-g-40632.html
Макаронные изделия Макфа Вермишель шпинатная длинная 500 г,105руб/шт,500 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-vermishel-shpinatnaya-dlinnaya-500-g-56245.html
Макаронные изделия Grand Di Pasta Cavatappi Виток 450 г,124руб/шт,450 г,Grand Di Pasta,https://vkusvill.ru//goods/makaronnye-izdeliya-grand-di-pasta-cavatappi-vitok-450-g-68777.html
Макаронные изделия Мальтальяти №038 Рожки 450 г,120руб/шт,450 г,Мальтальяти,https://vkusvill.ru//goods/makaronnye-izdeliya-maltalyati-038-rozhki-450-g-61615.html
Макаронные изделия Шебекинские №002 Спагетти тонкие 450 г,105руб/шт,450 г,Шебекинские,https://vkusvill.ru//goods/makaronnye-izdeliya-shebekinskie-002-spagetti-tonkie-450-g-40628.html
Макаронные изделия Foody Mac&Cheese с вложением соуса Сырный Чеддер классический 143 г,119руб/шт,143 г,Foody,https://vkusvill.ru//goods/makaronnye-izdeliya-foody-mac-cheese-s-vlozheniem-sousa-syrnyy-chedder-klassicheskiy-143-g-56905.html
Макаронные изделия Шебекинские №400 Бабочки 350 г,105руб/шт,350 г,Шебекинские,https://vkusvill.ru//goods/makaronnye-izdeliya-shebekinskie-400-babochki-350-g-56049.html
Макаронные изделия Мальтальяти №098 Fusillone 450 г,120руб/шт,450 г,Мальтальяти,https://vkusvill.ru//goods/makaronnye-izdeliya-maltalyati-098-fusillone-450-g-61411.html
Макаронные изделия Макфа Вермишель паутинка 400 г,105руб/шт,400 г,Макфа,https://vkusvill.ru//goods/makaronnye-izdeliya-makfa-vermishel-pautinka-400-g-32900.html
Макаронные изделия Barilla №65 Фарфалле бантики 400 г,125руб/шт,400 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-65-farfalle-bantiki-400-g-40600.html
Макаронные изделия 3 Glocken Genuss Pur Kelche клецки 500 г,309руб/шт,500 г,3 Glocken,https://vkusvill.ru//goods/makaronnye-izdeliya-3-glocken-genuss-pur-kelche-kletski-500-g-48134.html
Макаронные изделия Barilla №99 Кампанелле 450 г,290руб/шт,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-99-kampanelle-450-g-81681.html
Птитим Jasmine 600 г,235руб/шт,600 г,Jasmine,https://vkusvill.ru//goods/ptitim-jasmine-600-g-76673.html
