name,price,weight,brand,link
Макаронные изделия Barilla №98 Фузилли спирали 450 г,421.0,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-98-fuzilli-spirali-450-g-40598.html
Макаронные изделия Barilla №1 Капеллини 450 г,,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-1-kapellini-450-g-35198.html
Макаронные изделия Barilla №73 Пенне Ригате перья 450 г,299.0,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-73-penne-rigate-perya-450-g-35200.html
Макаронные изделия Barilla №30 Филини вермишель 450 г,229.0,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-30-filini-vermishel-450-g-35201.html
Макаронные изделия Barilla №13 Баветте 450 г,699.0,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-13-bavette-450-g-35199.html
Макаронные изделия Barilla Лазанья 500 г,199.0,500 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-lazanya-500-g-40601.html
Макаронные изделия Barilla №5 Спагетти 450 г,219.0,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-5-spagetti-450-g-35197.html
Макаронные изделия Barilla №34 Джирандоле спирали 450 г,349.0,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-34-dzhirandole-spirali-450-g-53664.html
Макаронные изделия Barilla Фузилли спирали без глютена 400 г,349.0,400 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-fuzilli-spirali-bez-glyutena-400-g-53650.html
Макаронные изделия Barilla №91 Пипе Ригате улитки рифленые 450 г,678.0,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-91-pipe-rigate-ulitki-riflenye-450-g-60538.html
Макаронные изделия Barilla Фетучини гнезда 500 г,449.0,500 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-fetuchini-gnezda-500-g-53648.html
Макаронные изделия Barilla №5 Спагетти без глютена 400 г,199.0,400 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-5-spagetti-bez-glyutena-400-g-53690.html
Макаронные изделия Barilla Festivi 400 г,209.0,400 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-festivi-400-g-104316.html
Макаронные изделия Foody Mac&Cheese с вложением соуса Сырный Четыре сыра 143 г,376.0,143 г,Foody,https://vkusvill.ru//goods/makaronnye-izdeliya-foody-mac-cheese-s-vlozheniem-sousa-syrnyy-chetyre-syra-143-g-56915.html
Макаронные изделия Grand Di Pasta Cavatappi Виток 450 г,,450 г,Grand Di Pasta,https://vkusvill.ru//goods/makaronnye-izdeliya-grand-di-pasta-cavatappi-vitok-450-g-68777.html
Макаронные изделия Foody Mac&Cheese с вложением соуса Сырный Чеддер классический 143 г,,143 г,Foody,https://vkusvill.ru//goods/makaronnye-izdeliya-foody-mac-cheese-s-vlozheniem-sousa-syrnyy-chedder-klassicheskiy-143-g-56905.html
Макаронные изделия Barilla №65 Фарфалле бантики 400 г,,400 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-65-farfalle-bantiki-400-g-40600.html
Макаронные изделия Barilla №99 Кампанелле 450 г,,450 г,Barilla,https://vkusvill.ru//goods/makaronnye-izdeliya-barilla-99-kampanelle-450-g-81681.html
Макаронные изделия Grand Di Pasta Пенне Перья 450 г,,450 г,Grand Di Pasta,https://vkusvill.ru//goods/makaronnye-izdeliya-grand-di-pasta-penne-perya-450-g-68778.html
Макаронные изделия Grand di Pasta Spaghetti 450 г,,450 г,Grand Di Pasta,https://vkusvill.ru//goods/makaronnye-izdeliya-grand-di-pasta-spaghetti-450-g-85584.html
