name,price,weight,brand,link
Купаты Инди Лайт По-домашнему охлажденные 500 г,421руб/шт,500 г,ИНДИ ЛАЙТ,https://vkusvill.ru//goods/kupaty-indi-layt-po-domashnemu-okhlazhdennye-500-g-109480.html
Шашлык из мраморной говядины Мираторг Prime охл 800 г,1 099руб/шт,800 г,Мираторг,https://vkusvill.ru//goods/shashlyk-iz-mramornoy-govyadiny-miratorg-prime-okhl-800-g-49321.html
Купаты Инди Лайт из индейки Сочные охлажденные 350 г,299руб/шт,350 г,ИНДИ ЛАЙТ,https://vkusvill.ru//goods/kupaty-indi-layt-iz-indeyki-sochnye-okhlazhdennye-350-g-109479.html
Купаты Ближние Горки из свинины Гриль охлажденные 400 г,229руб/шт,400 г,Ближние Горки,https://vkusvill.ru//goods/kupaty-blizhnie-gorki-iz-svininy-gril-okhlazhdennye-400-g-109475.html
Ребра Мираторг свиные Деликатесные охлажденные ~1 кг,699руб/кг,,Мираторг,https://vkusvill.ru//goods/rebra-miratorg-svinye-delikatesnye-okhlazhdennye-1-kg-109532.html
Колбаски куриные Троекурово Домашние охлажденные 450 г,199руб/шт,450 г,Рококо,https://vkusvill.ru//goods/kolbaski-kurinye-troekurovo-domashnie-okhlazhdennye-450-g-110132.html
Колбаски Рококо с сыром и зеленью охлажденные 380 г,199руб/шт,380 г,Рококо,https://vkusvill.ru//goods/kolbaski-rokoko-s-syrom-i-zelenyu-okhlazhdennye-380-g-110140.html
Голень Наша Птичка в маринаде Барбекю охлажденная 750 г,249руб/шт,750 г,Наша Птичка,https://vkusvill.ru//goods/golen-nasha-ptichka-v-marinade-barbekyu-okhlazhdennaya-750-g-109530.html
Бедро Наша Птичка в маринаде по-кавказки охлажденное 750 г,219руб/шт,750 г,Наша Птичка,https://vkusvill.ru//goods/bedro-nasha-ptichka-v-marinade-po-kavkazki-okhlazhdennoe-750-g-109527.html
Крылышки Наша Птичка в маринаде по-мексикански охлажденные 750 г,249руб/шт,750 г,Наша Птичка,https://vkusvill.ru//goods/krylyshki-nasha-ptichka-v-marinade-po-meksikanski-okhlazhdennye-750-g-109529.html
