name,price,weight,brand,link
Купаты Инди Лайт По-домашнему охлажденные 500 г,421.0,500 г,ИНДИ ЛАЙТ,https://vkusvill.ru//goods/kupaty-indi-layt-po-domashnemu-okhlazhdennye-500-g-109480.html
Шашлык из мраморной говядины Мираторг Prime охл 800 г,,800 г,Мираторг,https://vkusvill.ru//goods/shashlyk-iz-mramornoy-govyadiny-miratorg-prime-okhl-800-g-49321.html
Купаты Инди Лайт из индейки Сочные охлажденные 350 г,299.0,350 г,ИНДИ ЛАЙТ,https://vkusvill.ru//goods/kupaty-indi-layt-iz-indeyki-sochnye-okhlazhdennye-350-g-109479.html
Купаты Ближние Горки из свинины Гриль охлажденные 400 г,229.0,400 г,Ближние Горки,https://vkusvill.ru//goods/kupaty-blizhnie-gorki-iz-svininy-gril-okhlazhdennye-400-g-109475.html
Ребра Мираторг свиные Деликатесные охлажденные ~1 кг,699.0,,Мираторг,https://vkusvill.ru//goods/rebra-miratorg-svinye-delikatesnye-okhlazhdennye-1-kg-109532.html
Колбаски куриные Троекурово Домашние охлажденные 450 г,199.0,450 г,Рококо,https://vkusvill.ru//goods/kolbaski-kurinye-troekurovo-domashnie-okhlazhdennye-450-g-110132.html
Колбаски Рококо с сыром и зеленью охлажденные 380 г,199.0,380 г,Рококо,https://vkusvill.ru//goods/kolbaski-rokoko-s-syrom-i-zelenyu-okhlazhdennye-380-g-110140.html
Голень Наша Птичка в маринаде Барбекю охлажденная 750 г,249.0,750 г,Наша Птичка,https://vkusvill.ru//goods/golen-nasha-ptichka-v-marinade-barbekyu-okhlazhdennaya-750-g-109530.html
Бедро Наша Птичка в маринаде по-кавказки охлажденное 750 г,219.0,750 г,Наша Птичка,https://vkusvill.ru//goods/bedro-nasha-ptichka-v-marinade-po-kavkazki-okhlazhdennoe-750-g-109527.html
Крылышки Наша Птичка в маринаде по-мексикански охлажденные 750 г,249.0,750 г,Наша Птичка,https://vkusvill.ru//goods/krylyshki-nasha-ptichka-v-marinade-po-meksikanski-okhlazhdennye-750-g-109529.html
Филе грудки Наша Птичка цыпленка-бройлера охлажденное 834 г,379.0,834 г,Наша Птичка,https://vkusvill.ru//goods/file-grudki-nasha-ptichka-tsyplenka-broylera-okhlazhdennoe-834-g-110416.html
Голень Наша Птичка в маринаде Сладкий чили охлажденная 750 г,249.0,750 г,Наша Птичка,https://vkusvill.ru//goods/golen-nasha-ptichka-v-marinade-sladkiy-chili-okhlazhdennaya-750-g-109528.html
Бедро Инди Лайт индейки охлажденное ~ 1 кг,678.0,,ИНДИ ЛАЙТ,https://vkusvill.ru//goods/bedro-indi-layt-indeyki-okhlazhdennoe-1-kg-108942.html
