name,price,weight,brand,link
Сыр Вкуснотеево Микс сыров 4 сыра 45 % тертый 150 г,173руб/шт,150 г,Вкуснотеево,https://vkusvill.ru//goods/syr-vkusnoteevo-miks-syrov-4-syra-45-tertyy-150-g-73541.html
Сыр творожный Экомилк 60% 350 г,355руб/шт,350 г,ЭКОМИЛК,https://vkusvill.ru//goods/syr-tvorozhnyy-ekomilk-60-350-g-108907.html
Сыр Mlekara Sabac Сербская брынза 40% с рассолом 230 г,319руб/шт,230 г,Mlekara Sabac,https://vkusvill.ru//goods/syr-mlekara-sabac-serbskaya-brynza-40-s-rassolom-230-g-108534.html
Сыр Ламбер желтый 50% полутвердый 230 г,349руб/шт,230 г,Ламбер,https://vkusvill.ru//goods/syr-lamber-zheltyy-50-polutverdyy-230-g-57777.html
Сыр мягкий Pretto Крем основа с маскарпоне 50% 450 г,385руб/шт,450 г,Pretto,https://vkusvill.ru//goods/syr-myagkiy-pretto-krem-osnova-s-maskarpone-50-450-g-109539.html
Сыр мягкий Galbani Моцарелла 45% 125 г,269руб/шт,125 г,Galbani,https://vkusvill.ru//goods/syr-myagkiy-galbani-motsarella-45-125-g-65258.html
Сыр мягкий Galbani Моцарелла Мини 45% 150 г,315руб/шт,150 г,Galbani,https://vkusvill.ru//goods/syr-myagkiy-galbani-motsarella-mini-45-150-g-33476.html
Сыр творожный Sveza Легкий 35% 150 г,165руб/шт,150 г,Sveza,https://vkusvill.ru//goods/syr-tvorozhnyy-sveza-legkiy-35-150-g-60946.html
Сыр Савушкин продукт Брест-Литовск Российский 50% полутвердый 200 г,265руб/шт,200 г,Савушкин продукт,https://vkusvill.ru//goods/syr-savushkin-produkt-brest-litovsk-rossiyskiy-50-polutverdyy-200-g-58695.html
Сыр Natura Сливочный 45% цилиндр 200 г,329руб/шт,200 г,Natura,https://vkusvill.ru//goods/syr-natura-slivochnyy-45-tsilindr-200-g-79460.html
Сыр рассольный Чизолини Чечил вкусом сметаны и лука 40% 70 г,155руб/шт,70 г,Чизолини,https://vkusvill.ru//goods/syr-rassolnyy-chizolini-chechil-vkusom-smetany-i-luka-40-70-g-110307.html
Сыр слоистый Пивыч со вкусом вареные раки с укропом 45% 70 г,135руб/шт,70 г,ПИВЫЧ,https://vkusvill.ru//goods/syr-sloistyy-pivych-so-vkusom-varenye-raki-s-ukropom-45-70-g-109916.html
Сыр Маасдам Савушкин продукт Брест-Литовск 45% полутвердый нарезка 130 г,205руб/шт,130 г,Савушкин продукт,https://vkusvill.ru//goods/syr-maasdam-savushkin-produkt-brest-litovsk-45-polutverdyy-narezka-130-g-58703.html
Сыр Савушкин продукт Брест-Литовск Классический 45% полутвердый нарезка 150 г,209руб/шт,150 г,Савушкин продукт,https://vkusvill.ru//goods/syr-savushkin-produkt-brest-litovsk-klassicheskiy-45-polutverdyy-narezka-150-g-58692.html
Сыр President Камамбер с белой плесенью 45% мягкий 125 г,325руб/шт,125 г,President,https://vkusvill.ru//goods/syr-president-kamamber-s-beloy-plesenyu-45-myagkiy-125-g-32074.html
Сыр мягкий Galbani Моцарелла макси 45% 250 г,345руб/шт,250 г,Galbani,https://vkusvill.ru//goods/syr-myagkiy-galbani-motsarella-maksi-45-250-g-66200.html
Сыр Natura Сливочный цилиндр 400 г,559руб/шт,400 г,Arla,https://vkusvill.ru//goods/syr-natura-slivochnyy-tsilindr-400-g-54248.html
Сыр плавленый Фетакса без рассола 45% 200 г,225руб/шт,200 г,Фетакса,https://vkusvill.ru//goods/syr-plavlenyy-fetaksa-bez-rassola-45-200-g-76201.html
Сыр творожный сливочный President Прованс 65% 120 г,149руб/шт,120 г,President,https://vkusvill.ru//goods/syr-tvorozhnyy-slivochnyy-president-provans-65-120-g-32076.html
Сыр Тысяча Озер Легкий 15% нарезка 125 г,225руб/шт,125 г,Нева милк,https://vkusvill.ru//goods/syr-tysyacha-ozer-legkiy-15-narezka-125-g-56614.html
Сыр плавленый President Сливочный 45% 400 г,339руб/шт,400 г,President,https://vkusvill.ru//goods/syr-plavlenyy-president-slivochnyy-45-400-g-32068.html
Сыр плавленый Viola Easy Cheesy 45% 140 г,149руб/шт,140 г,Viola,https://vkusvill.ru//goods/syr-plavlenyy-viola-easy-cheesy-45-140-g-109547.html
Сыр Laime Пармезан 40% тертый 100 г,259руб/шт,100 г,Laime,https://vkusvill.ru//goods/syr-laime-parmezan-40-tertyy-100-g-83768.html
